Company Name,Sanctions Program,Country,Risk Details
KURDISTAN WORKERS' PARTY,SDNTK] [FTO] [SDGT,,"Secondary sanctions risk: section 1(b) of Executive Order 13224, as amended by Executive Order 13886; a.k.a. 'HSK'; a.k.a. 'KHK'."
LIBERATION TIGERS OF TAMIL EELAM,FTO] [SDGT,,"Secondary sanctions risk: section 1(b) of Executive Order 13224, as amended by Executive Order 13886."
NATIONAL LIBERATION ARMY,FTO] [SDGT,,"Secondary sanctions risk: section 1(b) of Executive Order 13224, as amended by Executive Order 13886."
PALESTINE ISLAMIC JIHAD - SHAQAQI FACTION,FTO] [SDGT,,"Secondary sanctions risk: section 1(b) of Executive Order 13224, as amended by Executive Order 13886."
PALESTINE LIBERATION FRONT - ABU ABBAS FACTION,FTO] [SDGT,,"Secondary sanctions risk: section 1(b) of Executive Order 13224, as amended by Executive Order 13886."
POPULAR FRONT FOR THE LIBERATION OF PALESTINE,FTO] [SDGT,,"Secondary sanctions risk: section 1(b) of Executive Order 13224, as amended by Executive Order 13886."
POPULAR FRONT FOR THE LIBERATION OF PALESTINE - GENERAL COMMAND,FTO] [SDGT,,"Secondary sanctions risk: section 1(b) of Executive Order 13224, as amended by Executive Order 13886."
REVOLUTIONARY PEOPLE'S LIBERATION PARTY/FRONT,FTO] [SDGT,,"Secondary sanctions risk: section 1(b) of Executive Order 13224, as amended by Executive Order 13886."
REVOLUTIONARY PEOPLE'S STRUGGLE,SDGT,,"Secondary sanctions risk: section 1(b) of Executive Order 13224, as amended by Executive Order 13886; a.k.a. 'ELA'; a.k.a. 'JUNE 78'."
SHINING PATH,SDNTK] [FTO] [SDGT,,"Secondary sanctions risk: section 1(b) of Executive Order 13224, as amended by Executive Order 13886; a.k.a. 'SL'; a.k.a. 'PCP'; a.k.a. 'EPL'."
DEMOCRATIC FRONT FOR THE LIBERATION OF PALESTINE - HAWATMEH FACTION,SDGT,,"Secondary sanctions risk: section 1(b) of Executive Order 13224, as amended by Executive Order 13886."
AL QA'IDA,FTO] [SDGT,,"Secondary sanctions risk: section 1(b) of Executive Order 13224, as amended by Executive Order 13886."
COLOMBIANA DE CERDOS LTDA.,SDNT,Colombia,NIT # 800018928-0 (Colombia).
DISTRIBUIDORA DE ELEMENTOS PARA LA CONSTRUCCION S.A.,SDNT,Colombia,NIT # 800117780-2 (Colombia).
MATADERO METROPOLITANO LTDA.,SDNT,Colombia,NIT # 891412986-8 (Colombia).
TALIBAN,SDGT,,"Secondary sanctions risk: section 1(b) of Executive Order 13224, as amended by Executive Order 13886."
COMERCIALIZADORA DE CARNES LTDA.,SDNT,Colombia,NIT # 800076369-0 (Colombia).
SERVIAUTOS UNO A 1A LIMITADA,SDNT,Colombia,NIT # 800032413-8 (Colombia).
AGRICOLA GANADERA HENAO GONZALEZ Y CIA. S.C.S.,SDNT,Colombia,NIT # 800021615-1 (Colombia).
COMPANIA AGROINVERSORA HENAGRO LTDA.,SDNT,Colombia,NIT # 800084326-8 (Colombia).
DESARROLLOS COMERCIALES E INDUSTRIALES HENAO GONZALEZ Y CIA. S.C.S.,SDNT,Colombia,NIT # 800160475-2 (Colombia).
MAQUINARIA TECNICA Y TIERRAS LTDA.,SDNT,Colombia,NIT # 800084233-1 (Colombia).
ORGANIZACION EMPRESARIAL A DE J HENAO M E HIJOS Y CIA. S.C.S.,SDNT,Colombia,NIT # 800157331-1 (Colombia).
